date,chain,alpha,mu_reduction_%,baseline
2025-10-06,avalanche,0.25,27.49,uniform
2025-10-06,celestia,0.25,22.9,uniform
2025-10-06,cosmoshub,0.25,27.9,uniform
2025-10-06,injective,0.25,21.51,uniform
2025-10-06,near,0.25,27.55,uniform
2025-10-06,osmosis,0.25,21.86,uniform
2025-10-06,sei,0.25,16.58,uniform
2025-10-06,solana,0.25,28.52,uniform
2025-10-06,sui,0.25,17.47,uniform
2025-10-06,tezos,0.25,28.78,uniform
2025-10-07,avalanche,0.25,27.63,uniform
2025-10-07,celestia,0.25,22.92,uniform
2025-10-07,cosmoshub,0.25,27.91,uniform
2025-10-07,injective,0.25,21.54,uniform
2025-10-07,near,0.25,27.55,uniform
2025-10-07,osmosis,0.25,21.85,uniform
2025-10-07,sei,0.25,16.63,uniform
2025-10-07,solana,0.25,28.52,uniform
2025-10-07,sui,0.25,17.48,uniform
2025-10-07,tezos,0.25,28.79,uniform
2025-10-08,avalanche,0.25,27.5,uniform
2025-10-08,celestia,0.25,22.92,uniform
2025-10-08,cosmoshub,0.25,27.91,uniform
2025-10-08,injective,0.25,21.54,uniform
2025-10-08,near,0.25,27.51,uniform
2025-10-08,osmosis,0.25,21.85,uniform
2025-10-08,sei,0.25,16.68,uniform
2025-10-08,solana,0.25,28.51,uniform
2025-10-08,sui,0.25,17.48,uniform
2025-10-08,tezos,0.25,28.79,uniform
2025-10-09,avalanche,0.25,27.49,uniform
2025-10-09,celestia,0.25,22.93,uniform
2025-10-09,cosmoshub,0.25,27.91,uniform
2025-10-09,injective,0.25,21.54,uniform
2025-10-09,near,0.25,27.54,uniform
2025-10-09,osmosis,0.25,21.85,uniform
2025-10-09,sei,0.25,16.69,uniform
2025-10-09,solana,0.25,28.51,uniform
2025-10-09,sui,0.25,17.52,uniform
2025-10-09,tezos,0.25,28.79,uniform
2025-10-10,avalanche,0.25,27.53,uniform
2025-10-10,celestia,0.25,22.92,uniform
2025-10-10,cosmoshub,0.25,27.92,uniform
2025-10-10,injective,0.25,21.25,uniform
2025-10-10,near,0.25,27.58,uniform
2025-10-10,osmosis,0.25,21.9,uniform
2025-10-10,sei,0.25,16.65,uniform
2025-10-10,solana,0.25,28.51,uniform
2025-10-10,sui,0.25,17.51,uniform
2025-10-10,tezos,0.25,28.78,uniform
2025-10-11,avalanche,0.25,27.51,uniform
2025-10-11,celestia,0.25,22.88,uniform
2025-10-11,cosmoshub,0.25,28.21,uniform
2025-10-11,injective,0.25,21.24,uniform
2025-10-11,near,0.25,27.59,uniform
2025-10-11,osmosis,0.25,21.94,uniform
2025-10-11,sei,0.25,16.66,uniform
2025-10-11,solana,0.25,28.51,uniform
2025-10-11,sui,0.25,17.5,uniform
2025-10-11,tezos,0.25,28.98,uniform
2025-10-12,avalanche,0.25,27.49,uniform
2025-10-12,celestia,0.25,22.88,uniform
2025-10-12,cosmoshub,0.25,28.2,uniform
2025-10-12,injective,0.25,21.24,uniform
2025-10-12,near,0.25,27.59,uniform
2025-10-12,osmosis,0.25,21.89,uniform
2025-10-12,sei,0.25,16.7,uniform
