file,n,lambda,m,alpha,mu,chernoff_bound,empirical_risk,chain,date,baseline
celestia_weights.csv,100,0.2,40,0.3,11.038619,0.8529889,0.0,celestia,2025-09-06,uniform
celestia_weights.csv,100,0.3,40,0.3,10.058792,0.700941,0.0,celestia,2025-09-06,uniform
celestia_weights.csv,100,0.0,40,0.33,13.887358,1.0,0.0,celestia,2025-09-06,uniform
celestia_weights.csv,100,0.1,40,0.33,12.858622,0.9941753,0.0,celestia,2025-09-06,uniform
celestia_weights.csv,100,0.2,40,0.33,11.829886,0.9382954,0.0,celestia,2025-09-06,uniform
celestia_weights.csv,100,0.3,40,0.33,10.80115,0.8204694,0.0,celestia,2025-09-06,uniform
cosmoshub_weights.csv,200,0.0,80,0.2,19.37999,0.4012228,0.0,cosmoshub,2025-09-06,uniform
cosmoshub_weights.csv,200,0.1,80,0.2,17.561991,0.207343,0.0,cosmoshub,2025-09-06,uniform
cosmoshub_weights.csv,200,0.2,80,0.2,15.743992,0.07998365,0.0,cosmoshub,2025-09-06,uniform
cosmoshub_weights.csv,200,0.3,80,0.2,13.925993,0.02053932,0.0,cosmoshub,2025-09-06,uniform
cosmoshub_weights.csv,200,0.0,80,0.25,22.623694,0.7859726,0.0,cosmoshub,2025-09-06,uniform
cosmoshub_weights.csv,200,0.1,80,0.25,20.521325,0.5414901,0.0,cosmoshub,2025-09-06,uniform
cosmoshub_weights.csv,200,0.2,80,0.25,18.418956,0.2919818,0.0,cosmoshub,2025-09-06,uniform
cosmoshub_weights.csv,200,0.3,80,0.25,16.316586,0.1120902,0.0,cosmoshub,2025-09-06,uniform
cosmoshub_weights.csv,200,0.0,80,0.3,25.640325,0.9863991,0.0,cosmoshub,2025-09-06,uniform
cosmoshub_weights.csv,200,0.1,80,0.3,23.276292,0.8482232,0.0,cosmoshub,2025-09-06,uniform
cosmoshub_weights.csv,200,0.2,80,0.3,20.91226,0.5898945,0.0,cosmoshub,2025-09-06,uniform
cosmoshub_weights.csv,200,0.3,80,0.3,18.548227,0.3059105,0.0,cosmoshub,2025-09-06,uniform
cosmoshub_weights.csv,200,0.0,80,0.33,28.258102,1.0,0.0,cosmoshub,2025-09-06,uniform
cosmoshub_weights.csv,200,0.1,80,0.33,25.672292,0.9872436,0.0,cosmoshub,2025-09-06,uniform
cosmoshub_weights.csv,200,0.2,80,0.33,23.086482,0.8310476,0.0,cosmoshub,2025-09-06,uniform
cosmoshub_weights.csv,200,0.3,80,0.33,20.500671,0.5389228,0.0,cosmoshub,2025-09-06,uniform
injective_weights.csv,50,0.0,20,0.2,4.399302,0.6773771,0.0,injective,2025-09-06,uniform
injective_weights.csv,50,0.1,20,0.2,4.079372,0.5786905,0.0,injective,2025-09-06,uniform
injective_weights.csv,50,0.2,20,0.2,3.759442,0.4726508,0.0,injective,2025-09-06,uniform
injective_weights.csv,50,0.3,20,0.2,3.439511,0.3644728,0.0,injective,2025-09-06,uniform
injective_weights.csv,50,0.0,20,0.25,5.512962,0.9226742,0.0,injective,2025-09-06,uniform
injective_weights.csv,50,0.1,20,0.25,5.121666,0.8561113,0.0,injective,2025-09-06,uniform
injective_weights.csv,50,0.2,20,0.25,4.73037,0.7678224,0.0,injective,2025-09-06,uniform
injective_weights.csv,50,0.3,20,0.25,4.339074,0.6595523,0.0,injective,2025-09-06,uniform
injective_weights.csv,50,0.0,20,0.3,6.371693,0.9954585,0.0,injective,2025-09-06,uniform
injective_weights.csv,50,0.1,20,0.3,5.934523,0.9703405,0.0,injective,2025-09-06,uniform
injective_weights.csv,50,0.2,20,0.3,5.497354,0.9204376,0.0,injective,2025-09-06,uniform
injective_weights.csv,50,0.3,20,0.3,5.060185,0.8436598,0.0,injective,2025-09-06,uniform
injective_weights.csv,50,0.0,20,0.33,7.176838,1.0,0.0,injective,2025-09-06,uniform
injective_weights.csv,50,0.1,20,0.33,6.699154,1.0,0.0,injective,2025-09-06,uniform
injective_weights.csv,50,0.2,20,0.33,6.221471,0.9894371,0.0,injective,2025-09-06,uniform
injective_weights.csv,50,0.3,20,0.33,5.743787,0.9517739,0.0,injective,2025-09-06,uniform
near_weights.csv,300,0.0,120,0.2,25.417283,0.06149135,0.0,near,2025-09-06,uniform
near_weights.csv,300,0.1,120,0.2,23.075555,0.01596005,0.0,near,2025-09-06,uniform
near_weights.csv,300,0.2,120,0.2,20.733826,0.002560712,0.0,near,2025-09-06,uniform
near_weights.csv,300,0.3,120,0.2,18.392098,0.0002113504,0.0,near,2025-09-06,uniform
near_weights.csv,300,0.0,120,0.25,32.934385,0.6033387,0.0,near,2025-09-06,uniform
near_weights.csv,300,0.1,120,0.25,29.920946,0.3224748,0.0,near,2025-09-06,uniform
near_weights.csv,300,0.2,120,0.25,26.907508,0.1196136,0.0,near,2025-09-06,uniform
near_weights.csv,300,0.3,120,0.25,23.894069,0.02681579,0.0,near,2025-09-06,uniform
near_weights.csv,300,0.0,120,0.3,36.106159,0.869379,0.0,near,2025-09-06,uniform
near_weights.csv,300,0.1,120,0.3,32.815543,0.5919645,0.0,near,2025-09-06,uniform
near_weights.csv,300,0.2,120,0.3,29.524927,0.2897294,0.0,near,2025-09-06,uniform
near_weights.csv,300,0.3,120,0.3,26.234311,0.09002082,0.0,near,2025-09-06,uniform
near_weights.csv,300,0.0,120,0.33,41.605538,1.0,0.0,near,2025-09-06,uniform
near_weights.csv,300,0.1,120,0.33,37.844985,0.9599208,0.0,near,2025-09-06,uniform
near_weights.csv,300,0.2,120,0.33,34.084431,0.7101861,0.0,near,2025-09-06,uniform
near_weights.csv,300,0.3,120,0.33,30.323877,0.3572952,0.0,near,2025-09-06,uniform
osmosis_weights.csv,100,0.0,40,0.2,8.652686,0.4299896,0.0,osmosis,2025-09-06,uniform
osmosis_weights.csv,100,0.1,40,0.2,8.027418,0.3106699,0.0,osmosis,2025-09-06,uniform
osmosis_weights.csv,100,0.2,40,0.2,7.402149,0.2051165,0.0,osmosis,2025-09-06,uniform
osmosis_weights.csv,100,0.3,40,0.2,6.776881,0.1207059,0.0,osmosis,2025-09-06,uniform
osmosis_weights.csv,100,0.0,40,0.25,10.637034,0.7962665,0.0,osmosis,2025-09-06,uniform
osmosis_weights.csv,100,0.1,40,0.25,9.893331,0.6711874,0.0,osmosis,2025-09-06,uniform
osmosis_weights.csv,100,0.2,40,0.25,9.149627,0.5285211,0.0,osmosis,2025-09-06,uniform
osmosis_weights.csv,100,0.3,40,0.25,8.405924,0.3818269,0.0,osmosis,2025-09-06,uniform
osmosis_weights.csv,100,0.0,40,0.3,12.494848,0.9814189,0.0,osmosis,2025-09-06,uniform
osmosis_weights.csv,100,0.1,40,0.3,11.645363,0.9216812,0.0,osmosis,2025-09-06,uniform
osmosis_weights.csv,100,0.2,40,0.3,10.795878,0.8197134,0.0,osmosis,2025-09-06,uniform
osmosis_weights.csv,100,0.3,40,0.3,9.946394,0.6808321,0.0,osmosis,2025-09-06,uniform
osmosis_weights.csv,100,0.0,40,0.33,13.379161,1.0,0.0,osmosis,2025-09-06,uniform
osmosis_weights.csv,100,0.1,40,0.33,12.481245,0.9807962,0.0,osmosis,2025-09-06,uniform
osmosis_weights.csv,100,0.2,40,0.33,11.583329,0.9156418,0.0,osmosis,2025-09-06,uniform
osmosis_weights.csv,100,0.3,40,0.33,10.685413,0.8035431,0.0,osmosis,2025-09-06,uniform
sei_weights.csv,40,0.0,16,0.2,3.819487,0.8187279,0.0,sei,2025-09-06,uniform
sei_weights.csv,40,0.1,16,0.2,3.597538,0.7564105,0.0,sei,2025-09-06,uniform
sei_weights.csv,40,0.2,16,0.2,3.375589,0.6849029,0.0,sei,2025-09-06,uniform
sei_weights.csv,40,0.3,16,0.2,3.153641,0.6052115,0.0,sei,2025-09-06,uniform
sei_weights.csv,40,0.0,16,0.25,4.627603,0.9647603,0.0,sei,2025-09-06,uniform
sei_weights.csv,40,0.1,16,0.25,4.364843,0.9308744,0.0,sei,2025-09-06,uniform
sei_weights.csv,40,0.2,16,0.25,4.102083,0.8840977,0.0,sei,2025-09-06,uniform
sei_weights.csv,40,0.3,16,0.25,3.839322,0.8238308,0.0,sei,2025-09-06,uniform
sei_weights.csv,40,0.0,16,0.3,5.408314,1.0,0.13192,sei,2025-09-06,uniform
